"Step","[GPU] DAICS - Wide Deep Network - best","[GPU] DAICS - Wide Deep Network - best__MIN","[GPU] DAICS - Wide Deep Network - best__MAX"
"0","-0.2028485600893841","-0.2028485600893841","-0.2028485600893841"
"1","-0.20034659717979458","-0.20034659717979458","-0.20034659717979458"
"2","-0.20034659717979458","-0.20034659717979458","-0.20034659717979458"
"3","-0.20034659717979458","-0.20034659717979458","-0.20034659717979458"
"4","-0.20034659717979458","-0.20034659717979458","-0.20034659717979458"
"5","-0.08025722728083724","-0.08025722728083724","-0.08025722728083724"
"6","-0.04673864933478263","-0.04673864933478263","-0.04673864933478263"
"7","-0.04673612779066642","-0.04673612779066642","-0.04673612779066642"
"8","-0.04673612779066642","-0.04673612779066642","-0.04673612779066642"
"9","-0.04033029221139945","-0.04033029221139945","-0.04033029221139945"
"10","-0.04033029221139945","-0.04033029221139945","-0.04033029221139945"
"11","-0.04033029221139945","-0.04033029221139945","-0.04033029221139945"
"12","-0.04033029221139945","-0.04033029221139945","-0.04033029221139945"
"13","-0.04033029221139945","-0.04033029221139945","-0.04033029221139945"
"14","-0.03651704106398505","-0.03651704106398505","-0.03651704106398505"
"15","-0.03651704106398505","-0.03651704106398505","-0.03651704106398505"
"16","-0.03651704106398505","-0.03651704106398505","-0.03651704106398505"
"17","-0.03651704106398505","-0.03651704106398505","-0.03651704106398505"
"18","-0.03651704106398505","-0.03651704106398505","-0.03651704106398505"
"19","-0.03651704106398505","-0.03651704106398505","-0.03651704106398505"
"20","-0.03651704106398505","-0.03651704106398505","-0.03651704106398505"
"21","-0.03475402757935347","-0.03475402757935347","-0.03475402757935347"
"22","-0.03475402757935347","-0.03475402757935347","-0.03475402757935347"
"23","-0.03475402757935347","-0.03475402757935347","-0.03475402757935347"
"24","-0.03475402757935347","-0.03475402757935347","-0.03475402757935347"
"25","-0.03475402757935347","-0.03475402757935347","-0.03475402757935347"
"26","-0.03475402757935347","-0.03475402757935347","-0.03475402757935347"
"27","-0.03475402757935347","-0.03475402757935347","-0.03475402757935347"
"28","-0.03475402757935347","-0.03475402757935347","-0.03475402757935347"
"29","-0.033020265732701976","-0.033020265732701976","-0.033020265732701976"
"30","-0.033020265732701976","-0.033020265732701976","-0.033020265732701976"
"31","-0.033020265732701976","-0.033020265732701976","-0.033020265732701976"
"32","-0.033020265732701976","-0.033020265732701976","-0.033020265732701976"
"33","-0.033020265732701976","-0.033020265732701976","-0.033020265732701976"
"34","-0.033020265732701976","-0.033020265732701976","-0.033020265732701976"
"35","-0.033020265732701976","-0.033020265732701976","-0.033020265732701976"
"36","-0.033020265732701976","-0.033020265732701976","-0.033020265732701976"
"37","-0.033020265732701976","-0.033020265732701976","-0.033020265732701976"
"38","-0.033020265732701976","-0.033020265732701976","-0.033020265732701976"
"39","-0.032091145283726426","-0.032091145283726426","-0.032091145283726426"
"40","-0.032091145283726426","-0.032091145283726426","-0.032091145283726426"
"41","-0.032091145283726426","-0.032091145283726426","-0.032091145283726426"
"42","-0.032091145283726426","-0.032091145283726426","-0.032091145283726426"
"43","-0.032091145283726426","-0.032091145283726426","-0.032091145283726426"
"44","-0.03124243673208414","-0.03124243673208414","-0.03124243673208414"
"45","-0.03124243673208414","-0.03124243673208414","-0.03124243673208414"
"46","-0.03124243673208414","-0.03124243673208414","-0.03124243673208414"
"47","-0.03124243673208414","-0.03124243673208414","-0.03124243673208414"
"48","-0.03124243673208414","-0.03124243673208414","-0.03124243673208414"
"49","-0.03124243673208414","-0.03124243673208414","-0.03124243673208414"
