"Step","[GPU] DAICS - Wide Deep Network - time_per_round","[GPU] DAICS - Wide Deep Network - time_per_round__MIN","[GPU] DAICS - Wide Deep Network - time_per_round__MAX"
"0","582.4120688438416","582.4120688438416","582.4120688438416"
"1","545.7697222232819","545.7697222232819","545.7697222232819"
"2","545.7533938884735","545.7533938884735","545.7533938884735"
"3","532.7703194618225","532.7703194618225","532.7703194618225"
"4","531.1431167125702","531.1431167125702","531.1431167125702"
"5","528.7074995040894","528.7074995040894","528.7074995040894"
"6","530.0158798694611","530.0158798694611","530.0158798694611"
"7","528.530588388443","528.530588388443","528.530588388443"
"8","543.1627941131592","543.1627941131592","543.1627941131592"
"9","541.0089457035065","541.0089457035065","541.0089457035065"
"10","527.6438002586365","527.6438002586365","527.6438002586365"
"11","540.6957676410675","540.6957676410675","540.6957676410675"
"12","544.9444296360016","544.9444296360016","544.9444296360016"
"13","529.45290350914","529.45290350914","529.45290350914"
"14","529.9833059310913","529.9833059310913","529.9833059310913"
"15","529.1319231987","529.1319231987","529.1319231987"
"16","530.0256202220917","530.0256202220917","530.0256202220917"
"17","529.3214228153229","529.3214228153229","529.3214228153229"
"18","533.6337563991547","533.6337563991547","533.6337563991547"
"19","546.7973091602325","546.7973091602325","546.7973091602325"
"20","532.7772350311279","532.7772350311279","532.7772350311279"
"21","527.6654555797577","527.6654555797577","527.6654555797577"
"22","527.8633577823639","527.8633577823639","527.8633577823639"
"23","528.7956285476685","528.7956285476685","528.7956285476685"
"24","528.4387929439545","528.4387929439545","528.4387929439545"
"25","527.0384819507599","527.0384819507599","527.0384819507599"
"26","538.7892591953278","538.7892591953278","538.7892591953278"
"27","546.24778008461","546.24778008461","546.24778008461"
"28","540.742374420166","540.742374420166","540.742374420166"
"29","529.6967124938965","529.6967124938965","529.6967124938965"
"30","527.8920934200287","527.8920934200287","527.8920934200287"
"31","528.1705827713013","528.1705827713013","528.1705827713013"
"32","528.5596778392792","528.5596778392792","528.5596778392792"
"33","527.8903794288635","527.8903794288635","527.8903794288635"
"34","527.2346777915955","527.2346777915955","527.2346777915955"
"35","528.3581714630127","528.3581714630127","528.3581714630127"
"36","527.7231357097626","527.7231357097626","527.7231357097626"
"37","528.4676733016968","528.4676733016968","528.4676733016968"
"38","528.6778762340546","528.6778762340546","528.6778762340546"
"39","529.5848081111908","529.5848081111908","529.5848081111908"
"40","528.2554070949554","528.2554070949554","528.2554070949554"
"41","543.4582781791687","543.4582781791687","543.4582781791687"
"42","543.5482611656189","543.5482611656189","543.5482611656189"
"43","529.9821228981018","529.9821228981018","529.9821228981018"
"44","528.2818787097931","528.2818787097931","528.2818787097931"
"45","530.133633852005","530.133633852005","530.133633852005"
"46","528.6793146133423","528.6793146133423","528.6793146133423"
"47","527.7792148590088","527.7792148590088","527.7792148590088"
"48","533.4506862163544","533.4506862163544","533.4506862163544"
"49","543.7813930511475","543.7813930511475","543.7813930511475"
