"Step","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss__MAX","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss__MAX","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss__MAX","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss__MIN","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss__MAX","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss__MIN","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss__MAX","[GPU] DAICS - Wide Deep Network - FIT601.train_loss","[GPU] DAICS - Wide Deep Network - FIT601.train_loss__MIN","[GPU] DAICS - Wide Deep Network - FIT601.train_loss__MAX"
"0","-0.050213354434892936","-0.050213354434892936","-0.050213354434892936","-0.06120771398991061","-0.06120771398991061","-0.06120771398991061","-0.01465163227666679","-0.01465163227666679","-0.01465163227666679","-0.052358621587549906","-0.052358621587549906","-0.052358621587549906","-0.10693323438205589","-0.10693323438205589","-0.10693323438205589","-0.007085775962692327","-0.007085775962692327","-0.007085775962692327"
"1","-0.046548147983230224","-0.046548147983230224","-0.046548147983230224","-0.04613054060801041","-0.04613054060801041","-0.04613054060801041","-0.00420341989581647","-0.00420341989581647","-0.00420341989581647","-0.0517966655676809","-0.0517966655676809","-0.0517966655676809","-0.10088079912540074","-0.10088079912540074","-0.10088079912540074","-0.006999459765463896","-0.006999459765463896","-0.006999459765463896"
"2","-0.046552986957020794","-0.046552986957020794","-0.046552986957020794","-0.04614165405068837","-0.04614165405068837","-0.04614165405068837","-0.004203198270682756","-0.004203198270682756","-0.004203198270682756","-0.05182969623692339","-0.05182969623692339","-0.05182969623692339","-0.10073812357069184","-0.10073812357069184","-0.10073812357069184","-0.006947062664041059","-0.006947062664041059","-0.006947062664041059"
"3","-0.04657832769120214","-0.04657832769120214","-0.04657832769120214","-0.04602881259516483","-0.04602881259516483","-0.04602881259516483","-0.004200494270794421","-0.004200494270794421","-0.004200494270794421","-0.05175680736315593","-0.05175680736315593","-0.05175680736315593","-0.10109733368619025","-0.10109733368619025","-0.10109733368619025","-0.006939790940034997","-0.006939790940034997","-0.006939790940034997"
"4","-0.04644839934576804","-0.04644839934576804","-0.04644839934576804","-0.04612179611622455","-0.04612179611622455","-0.04612179611622455","-0.004196467237106008","-0.004196467237106008","-0.004196467237106008","-0.05186984913105061","-0.05186984913105061","-0.05186984913105061","-0.10050206986050253","-0.10050206986050253","-0.10050206986050253","-0.006948125061423909","-0.006948125061423909","-0.006948125061423909"
"5","-0.035739387885248004","-0.035739387885248004","-0.035739387885248004","-0.04173496356583831","-0.04173496356583831","-0.04173496356583831","-0.004211894833779341","-0.004211894833779341","-0.004211894833779341","-0.050172468627725834","-0.050172468627725834","-0.050172468627725834","-0.08688863184520217","-0.08688863184520217","-0.08688863184520217","-0.006941574117807946","-0.006941574117807946","-0.006941574117807946"
"6","-0.018851533771819307","-0.018851533771819307","-0.018851533771819307","-0.009455241255309195","-0.009455241255309195","-0.009455241255309195","-0.004221698630231609","-0.004221698630231609","-0.004221698630231609","-0.03770460357737311","-0.03770460357737311","-0.03770460357737311","-0.04111654208202155","-0.04111654208202155","-0.04111654208202155","-0.006943814291332381","-0.006943814291332381","-0.006943814291332381"
"7","-0.016496419227311963","-0.016496419227311963","-0.016496419227311963","-0.008329547390031744","-0.008329547390031744","-0.008329547390031744","-0.004195047894790663","-0.004195047894790663","-0.004195047894790663","-0.030845059646447775","-0.030845059646447775","-0.030845059646447775","-0.04332665378065332","-0.04332665378065332","-0.04332665378065332","-0.006938860209213316","-0.006938860209213316","-0.006938860209213316"
"8","-0.015536809411976722","-0.015536809411976722","-0.015536809411976722","-0.00812180110747399","-0.00812180110747399","-0.00812180110747399","-0.004125179879035646","-0.004125179879035646","-0.004125179879035646","-0.02525516495205211","-0.02525516495205211","-0.02525516495205211","-0.035054158598153","-0.035054158598153","-0.035054158598153","-0.006942215087155466","-0.006942215087155466","-0.006942215087155466"
"9","-0.013042950727036389","-0.013042950727036389","-0.013042950727036389","-0.007963769866064426","-0.007963769866064426","-0.007963769866064426","-0.004063657580380956","-0.004063657580380956","-0.004063657580380956","-0.019152675697544842","-0.019152675697544842","-0.019152675697544842","-0.03138789257767621","-0.03138789257767621","-0.03138789257767621","-0.006944029706321989","-0.006944029706321989","-0.006944029706321989"
