"Step","[GPU] Wide Deep Network - best","[GPU] Wide Deep Network - best__MIN","[GPU] Wide Deep Network - best__MAX"
"0","-0.1678071263520522","-0.1678071263520522","-0.1678071263520522"
"1","-0.1678071263520522","-0.1678071263520522","-0.1678071263520522"
"2","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"3","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"4","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"5","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"6","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"7","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"8","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"9","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"10","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"11","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"12","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"13","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"14","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"15","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"16","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"17","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"18","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"19","-0.15680358282074577","-0.15680358282074577","-0.15680358282074577"
"20","-0.1531571800670583","-0.1531571800670583","-0.1531571800670583"
"21","-0.13522679332715143","-0.13522679332715143","-0.13522679332715143"
"22","-0.11707601096053752","-0.11707601096053752","-0.11707601096053752"
"23","-0.11162051072044292","-0.11162051072044292","-0.11162051072044292"
"24","-0.11162051072044292","-0.11162051072044292","-0.11162051072044292"
"25","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"26","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"27","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"28","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"29","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"30","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"31","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"32","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"33","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"34","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"35","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"36","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"37","-0.08901865298455981","-0.08901865298455981","-0.08901865298455981"
"38","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"39","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"40","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"41","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"42","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"43","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"44","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"45","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"46","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"47","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"48","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"49","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"50","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"51","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"52","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"53","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"54","-0.070898616350356","-0.070898616350356","-0.070898616350356"
"55","-0.06798897110944589","-0.06798897110944589","-0.06798897110944589"
"56","-0.06798897110944589","-0.06798897110944589","-0.06798897110944589"
"57","-0.05743701978255594","-0.05743701978255594","-0.05743701978255594"
"58","-0.04914582136571104","-0.04914582136571104","-0.04914582136571104"
"59","-0.04914582136571104","-0.04914582136571104","-0.04914582136571104"
"60","-0.04914582136571104","-0.04914582136571104","-0.04914582136571104"
"61","-0.04914582136571104","-0.04914582136571104","-0.04914582136571104"
"62","-0.04914582136571104","-0.04914582136571104","-0.04914582136571104"
"63","-0.04914582136571104","-0.04914582136571104","-0.04914582136571104"
"64","-0.04914582136571104","-0.04914582136571104","-0.04914582136571104"
"65","-0.04780337956423848","-0.04780337956423848","-0.04780337956423848"
