"Step","[GPU] Wide Deep Network - stop_counter","[GPU] Wide Deep Network - stop_counter__MIN","[GPU] Wide Deep Network - stop_counter__MAX"
"0","0","0","0"
"1","1","1","1"
"2","0","0","0"
"3","1","1","1"
"4","2","2","2"
"5","3","3","3"
"6","4","4","4"
"7","5","5","5"
"8","6","6","6"
"9","7","7","7"
"10","8","8","8"
"11","9","9","9"
"12","10","10","10"
"13","11","11","11"
"14","12","12","12"
"15","13","13","13"
"16","14","14","14"
"17","15","15","15"
"18","16","16","16"
"19","17","17","17"
"20","0","0","0"
"21","0","0","0"
"22","0","0","0"
"23","0","0","0"
"24","1","1","1"
"25","0","0","0"
"26","1","1","1"
"27","2","2","2"
"28","3","3","3"
"29","4","4","4"
"30","5","5","5"
"31","6","6","6"
"32","7","7","7"
"33","8","8","8"
"34","9","9","9"
"35","10","10","10"
"36","11","11","11"
"37","12","12","12"
"38","0","0","0"
"39","1","1","1"
"40","2","2","2"
"41","3","3","3"
"42","4","4","4"
"43","5","5","5"
"44","6","6","6"
"45","7","7","7"
"46","8","8","8"
"47","9","9","9"
"48","10","10","10"
"49","11","11","11"
"50","12","12","12"
"51","13","13","13"
"52","14","14","14"
"53","15","15","15"
"54","16","16","16"
"55","0","0","0"
"56","1","1","1"
"57","0","0","0"
"58","0","0","0"
"59","1","1","1"
"60","2","2","2"
"61","3","3","3"
"62","4","4","4"
"63","5","5","5"
"64","6","6","6"
"65","0","0","0"
"66","1","1","1"
"67","2","2","2"
"68","0","0","0"
"69","1","1","1"
"70","2","2","2"
"71","3","3","3"
"72","0","0","0"
"73","1","1","1"
"74","2","2","2"
"75","3","3","3"
"76","4","4","4"
"77","5","5","5"
"78","6","6","6"
"79","0","0","0"
"80","0","0","0"
"81","1","1","1"
"82","2","2","2"
"83","0","0","0"
"84","1","1","1"
"85","2","2","2"
"86","3","3","3"
"87","4","4","4"
"88","5","5","5"
"89","6","6","6"
"90","7","7","7"
"91","8","8","8"
"92","9","9","9"
"93","10","10","10"
"94","0","0","0"
"95","1","1","1"
"96","2","2","2"
"97","3","3","3"
"98","4","4","4"
"99","5","5","5"
"100","6","6","6"
"101","7","7","7"
"102","8","8","8"
"103","9","9","9"
"104","10","10","10"
"105","11","11","11"
"106","12","12","12"
"107","13","13","13"
"108","14","14","14"
"109","15","15","15"
"110","16","16","16"
"111","17","17","17"
"112","18","18","18"
"113","19","19","19"
"114","20","20","20"
"115","21","21","21"
"116","22","22","22"
"117","23","23","23"
"118","24","24","24"
"119","25","25","25"
