"Step","[GPU] Wide Deep Network - time_per_round","[GPU] Wide Deep Network - time_per_round__MIN","[GPU] Wide Deep Network - time_per_round__MAX"
"0","14672.147379636765","14672.147379636765","14672.147379636765"
"1","3920.4813182353973","3920.4813182353973","3920.4813182353973"
"2","2860.65474152565","2860.65474152565","2860.65474152565"
"3","4055.4438853263855","4055.4438853263855","4055.4438853263855"
"4","4683.490879774094","4683.490879774094","4683.490879774094"
"5","4196.823153972626","4196.823153972626","4196.823153972626"
"6","4553.459628582001","4553.459628582001","4553.459628582001"
"7","4232.70601606369","4232.70601606369","4232.70601606369"
"8","3566.1159896850586","3566.1159896850586","3566.1159896850586"
"9","4838.611136436462","4838.611136436462","4838.611136436462"
"10","4012.9648928642273","4012.9648928642273","4012.9648928642273"
"11","4912.978428840637","4912.978428840637","4912.978428840637"
"12","3693.6311404705048","3693.6311404705048","3693.6311404705048"
"13","2406.1424090862274","2406.1424090862274","2406.1424090862274"
"14","4359.436685323715","4359.436685323715","4359.436685323715"
"15","4752.622371912003","4752.622371912003","4752.622371912003"
"16","4820.029023885727","4820.029023885727","4820.029023885727"
"17","2177.759885072708","2177.759885072708","2177.759885072708"
"18","2371.2982013225555","2371.2982013225555","2371.2982013225555"
"19","2164.425707101822","2164.425707101822","2164.425707101822"
"20","2533.616811275482","2533.616811275482","2533.616811275482"
"21","3139.5212960243225","3139.5212960243225","3139.5212960243225"
"22","4116.733356952667","4116.733356952667","4116.733356952667"
"23","2407.59570980072","2407.59570980072","2407.59570980072"
"24","2397.0658750534058","2397.0658750534058","2397.0658750534058"
"25","2182.8375239372253","2182.8375239372253","2182.8375239372253"
"26","2265.9454658031464","2265.9454658031464","2265.9454658031464"
"27","2338.4517257213593","2338.4517257213593","2338.4517257213593"
"28","3266.2150769233704","3266.2150769233704","3266.2150769233704"
"29","2383.2044525146484","2383.2044525146484","2383.2044525146484"
"30","2387.0480110645294","2387.0480110645294","2387.0480110645294"
"31","1975.4051225185394","1975.4051225185394","1975.4051225185394"
"32","2109.777420759201","2109.777420759201","2109.777420759201"
"33","1984.2995822429657","1984.2995822429657","1984.2995822429657"
"34","1989.26589179039","1989.26589179039","1989.26589179039"
"35","1985.1055631637573","1985.1055631637573","1985.1055631637573"
"36","1967.2394771575928","1967.2394771575928","1967.2394771575928"
"37","2089.376130104065","2089.376130104065","2089.376130104065"
"38","3418.1415815353394","3418.1415815353394","3418.1415815353394"
"39","3280.3580384254456","3280.3580384254456","3280.3580384254456"
"40","2465.716105699539","2465.716105699539","2465.716105699539"
"41","2884.0880651474","2884.0880651474","2884.0880651474"
"42","2098.079269886017","2098.079269886017","2098.079269886017"
"43","3077.489040851593","3077.489040851593","3077.489040851593"
"44","2493.6254467964172","2493.6254467964172","2493.6254467964172"
"45","2936.253619670868","2936.253619670868","2936.253619670868"
"46","2093.381062746048","2093.381062746048","2093.381062746048"
"47","2394.511396408081","2394.511396408081","2394.511396408081"
"48","2094.8510088920593","2094.8510088920593","2094.8510088920593"
"49","2239.9251153469086","2239.9251153469086","2239.9251153469086"
"50","2229.6136240959167","2229.6136240959167","2229.6136240959167"
"51","2368.90310049057","2368.90310049057","2368.90310049057"
"52","2375.815395116806","2375.815395116806","2375.815395116806"
"53","1981.9944603443146","1981.9944603443146","1981.9944603443146"
"54","2224.8218088150024","2224.8218088150024","2224.8218088150024"
"55","2523.0880587100983","2523.0880587100983","2523.0880587100983"
"56","4095.950442314148","4095.950442314148","4095.950442314148"
"57","2548.7392449378967","2548.7392449378967","2548.7392449378967"
"58","2783.4642837047577","2783.4642837047577","2783.4642837047577"
"59","2077.14053440094","2077.14053440094","2077.14053440094"
"60","2070.352616548538","2070.352616548538","2070.352616548538"
"61","2177.848988056183","2177.848988056183","2177.848988056183"
"62","2070.0394756793976","2070.0394756793976","2070.0394756793976"
"63","2071.2473464012146","2071.2473464012146","2071.2473464012146"
"64","2152.646556377411","2152.646556377411","2152.646556377411"
"65","2590.851974964142","2590.851974964142","2590.851974964142"
"66","2779.766744852066","2779.766744852066","2779.766744852066"
"67","2209.9194734096527","2209.9194734096527","2209.9194734096527"
"68","3422.060490131378","3422.060490131378","3422.060490131378"
"69","2434.400195837021","2434.400195837021","2434.400195837021"
"70","2676.4908332824707","2676.4908332824707","2676.4908332824707"
"71","2322.7076258659363","2322.7076258659363","2322.7076258659363"
"72","3053.272609472275","3053.272609472275","3053.272609472275"
"73","2819.0183260440826","2819.0183260440826","2819.0183260440826"
"74","2335.64240026474","2335.64240026474","2335.64240026474"
"75","2254.2629628181458","2254.2629628181458","2254.2629628181458"
"76","3504.1233899593353","3504.1233899593353","3504.1233899593353"
"77","2697.0574235916138","2697.0574235916138","2697.0574235916138"
"78","3677.8134241104126","3677.8134241104126","3677.8134241104126"
"79","2433.5497694015503","2433.5497694015503","2433.5497694015503"
"80","2376.487894296646","2376.487894296646","2376.487894296646"
"81","2450.024218082428","2450.024218082428","2450.024218082428"
"82","2451.35022854805","2451.35022854805","2451.35022854805"
"83","2545.5716309547424","2545.5716309547424","2545.5716309547424"
"84","2340.4125986099243","2340.4125986099243","2340.4125986099243"
"85","2359.323700428009","2359.323700428009","2359.323700428009"
"86","2463.7051906585693","2463.7051906585693","2463.7051906585693"
"87","2160.1650018692017","2160.1650018692017","2160.1650018692017"
"88","2112.948579788208","2112.948579788208","2112.948579788208"
"89","2355.1293835639954","2355.1293835639954","2355.1293835639954"
"90","2527.1988072395325","2527.1988072395325","2527.1988072395325"
"91","2132.6032032966614","2132.6032032966614","2132.6032032966614"
"92","2099.4645602703094","2099.4645602703094","2099.4645602703094"
"93","2258.875264644623","2258.875264644623","2258.875264644623"
"94","2246.9071230888367","2246.9071230888367","2246.9071230888367"
"95","2369.988292455673","2369.988292455673","2369.988292455673"
"96","2079.0383791923523","2079.0383791923523","2079.0383791923523"
"97","2168.5886328220367","2168.5886328220367","2168.5886328220367"
"98","2081.8618993759155","2081.8618993759155","2081.8618993759155"
"99","1959.9557118415833","1959.9557118415833","1959.9557118415833"
"100","1964.1306002140045","1964.1306002140045","1964.1306002140045"
"101","1960.6616969108582","1960.6616969108582","1960.6616969108582"
"102","1966.536500453949","1966.536500453949","1966.536500453949"
"103","1960.551936864853","1960.551936864853","1960.551936864853"
"104","1963.6360952854156","1963.6360952854156","1963.6360952854156"
"105","1965.4551837444305","1965.4551837444305","1965.4551837444305"
"106","1958.3859405517578","1958.3859405517578","1958.3859405517578"
"107","1959.9094808101654","1959.9094808101654","1959.9094808101654"
"108","1959.6681644916534","1959.6681644916534","1959.6681644916534"
"109","1957.3864614963531","1957.3864614963531","1957.3864614963531"
"110","1961.9850873947144","1961.9850873947144","1961.9850873947144"
"111","1959.532180070877","1959.532180070877","1959.532180070877"
"112","1962.1088988780975","1962.1088988780975","1962.1088988780975"
"113","1962.682579755783","1962.682579755783","1962.682579755783"
"114","1965.928759098053","1965.928759098053","1965.928759098053"
"115","1965.891168832779","1965.891168832779","1965.891168832779"
"116","1989.770744085312","1989.770744085312","1989.770744085312"
"117","2302.252690553665","2302.252690553665","2302.252690553665"
"118","2001.898733139038","2001.898733139038","2001.898733139038"
"119","2159.5576224327087","2159.5576224327087","2159.5576224327087"
